Section;Point;Statut;Commits;Preuve_executee;Reste
1-ORDRE2;title + meta description + canonical par page;FAIT;b2e29fa puis 0abd2d0;Porte check-render verte (canonical exact sans # asserte + sabotage canonical-a-diese rouge). Ta propre mesure externe du 08/08 : title/description/canonical exacts au produit;Rien
1-ORDRE2;og:* produit (og:url og:title og:description og:image);FAIT;b2e29fa puis 0abd2d0;Ta mesure externe : og:* produit en prod. Porte : og:image = photo du produit asserte;Rien
1-ORDRE2;JSON-LD Product complet — toutes les images de la galerie (SEO-035);FAIT;0abd2d0;Mesure locale du jour : ldType=Product et ldImages=1 = galerie=1 (la fiche temoin n'a qu'un visuel — l'egalite est l'assertion et un sabotage slice casse des qu'une galerie multiple existe). Porte verte;Rien
1-ORDRE2;priceValidUntil derive d'une donnee reelle (SEO-036);FAIT;0abd2d0;Regle : dernier releve du traqueur (enMillis de priceCheckedAt) + 14 jours et AUCUNE date sans releve. Mesure locale (mode fichier sans Firestore) : validUntil=null car aucun releve — c'est le comportement voulu et asserte (sabotage date-inventee rouge). En prod avec Firestore les fiches balayees porteront la date;Contre-verifier en prod sur une fiche balayee par le traqueur
1-ORDRE2;Prix JSON-LD = meme modele que le paiement (J4);FAIT;0abd2d0;Assertion : ld.offers.price === pricing.calcPrice(fiche territoire 971).ttc — mesure du jour : 246.20 (recalcule par la porte avec la meme lib). Sabotage prix-hors-modele rouge. Prix non confirmes = aucune offre (asserte);Rien
1-ORDRE2;ItemList coherent (SEO-034);FAIT;0abd2d0;Mesure du jour : numberOfItems=122 = items listes=122 = fiches eligibles mesurees=122. Sabotage numberOfItems+1 rouge;Rien
1-ORDRE2;h1 unique;EN COURS;0abd2d0;Mesure du jour : 2 balises h1 dans le HTML d'une fiche — celle du bloc serveur (nom du produit) et celle VIDE du gabarit de la vue produit (pdpTitle rempli par l'app au demarrage). Les 22 h1 des autres vues ont disparu avec elles;Faire porter le nom du produit par le h1 du gabarit de la vue (hydratation non destructive complete) et supprimer le h1 du bloc serveur — prochain lot avec l'ordre 3
1-CONSTAT1;Coquille SPA retiree — ni texte CGV ni autres vues dans une fiche;FAIT;0abd2d0;Mesure du jour : vuesFiche=1 (34 sections-vues dans le gabarit avant retrait) et cgvDansFiche=false. Assertions de porte + sabotage vues-non-retirees rouge. app.js recharge le gabarit complet si une vue manque a la navigation;Contre-verifier par re-fetch externe apres deploiement
1-CONSTAT2;Twitter Cards alignees sur les OG;FAIT;0abd2d0;Mesure du jour : twitter:title === og:title (identiques caractere pour caractere sur la fiche temoin) et twitter:description === og:description asserte. Sabotage desalignement rouge;Rien
1-CONSTAT3;og:type=product sur une fiche;FAIT;0abd2d0;Mesure du jour : ogType=product. Sabotage og:type=website rouge;Rien
