ID;Fichier;Lignes;Niveau;Constat;Preuve;Action_proposee;Priorite
CODE-001;app.js;2680;BAS;Le garde _ptDelegated fige les écouteurs d'étoiles sur la fermeture du PREMIER produit visité, alors que form.onsubmit (l.2755) est réattribué à chaque fiche : sur la 2e fiche, la note cliquée alimente une variable selectedRating morte et l'envoi refuse toujours « Sélectionnez une note ».;extrait verifie ligne 2680 : if (starsSelect && !starsSelect._ptDelegated) {;Sortir selectedRating du scope de setupReviews (variable de module) ou relire la note depuis les classes .active du DOM au submit.;P1
CODE-002;app.js;2755;BAS;Ce handler capture une closure selectedRating recréée à chaque appel, en contradiction avec l'écouteur d'étoiles délégué une seule fois.;extrait verifie ligne 2755 : form.onsubmit = function (e) {;Unifier les deux mécanismes sur une même source d'état.;P1
CODE-003;app.js;1196;BAS;products.json pèse 1,77 Mo et est demandé en cache:'no-store' à chaque chargement, donc entièrement retéléchargé à chaque visite — coût maximal en navigation privée.;extrait verifie ligne 1196 : return fetch(url, { cache: 'no-store' });Passer en cache par défaut avec un ?v= aligné sur ASSET_VER, ou servir un index allégé et charger le détail à la demande.;P0
CODE-004;app.js;1227;BAS;apply() sérialise le catalogue entier (~1,7 Mo) jusqu'à trois fois par chargement (cache, static, api) uniquement pour comparer, sur le thread principal.;extrait verifie ligne 1227 : var json = JSON.stringify(arr),;Comparer un condensé bon marché (longueur + hash des id/prix) au lieu de JSON.stringify complet.;P1
CODE-005;app.js;1234;BAS;On écrit 1,7 Mo en localStorage de façon synchrone, très près du quota de 5 Mo, et l'échec de quota est avalé sans aucune trace.;extrait verifie ligne 1234 : try { localStorage.setItem(PRODUCTS_CACHE_KEY, json), } catch (_) {};Basculer ce cache sur IndexedDB ou le Cache API, et journaliser l'échec au lieu de l'avaler.;P1
CODE-006;app.js;1242;MOYEN;L'arrivée des données relance un rendu complet de la route depuis l'intérieur du chargeur produits, créant un couplage circulaire chargement↔routeur.;extrait verifie ligne 1242 : onRouteChange(true),;Émettre un événement 'pt:products-ready' et laisser la vue courante s'y abonner.;P2
CODE-007;app.js;1761;MOYEN;Écouteur scroll global posé à l'exécution du module, jamais retiré : il continue de calculer la vélocité des sphères 3D sur toutes les routes, y compris l'admin.;extrait verifie ligne 1761 : window.addEventListener('scroll', function () {;Ne l'attacher qu'au rendu de l'accueil et le détacher dans disposeBrandScenes().;P2
CODE-008;app.js;8708;MOYEN;Second écouteur scroll global permanent pour le logo héros, qui appelle parseHash() à chaque événement de défilement de tout le site.;extrait verifie ligne 8708 : window.addEventListener('scroll', function () {;Fusionner les deux écouteurs scroll en un seul dispatcher et sortir tôt sur route ≠ '/'.;P2
CODE-009;app.js;2052;MOYEN;Troisième écouteur resize global au niveau module, sans contrepartie de retrait, en plus de ceux de la PDP (l.3423) et du bandeau consentement (l.641).;extrait verifie ligne 2052 : window.addEventListener('resize', function () {;Centraliser les resize dans un seul observateur et exposer un désabonnement.;P3
CODE-010;app.js;16265;BON;Délégation favoris posée sur body sans possibilité de débranchement , le fichier compte 130 addEventListener pour seulement 9 removeEventListener.;extrait verifie ligne 16265 : document.body.addEventListener('click', function (e) {;Documenter la politique « écouteurs permanents » ou renvoyer une fonction de désinscription depuis chaque setup*.;P3
CODE-011;app.js;11658;BAS;L'échec de création de course après paiement est totalement avalé : le client a payé et ne voit aucun message si l'appel serveur échoue.;extrait verifie ligne 11658 : }).catch(function () {}),;Afficher un toast d'erreur explicite et journaliser, comme le fait déjà la branche photo juste au-dessus.;P1
CODE-012;app.js;15;MOYEN;Le fichier contient 66 blocs catch (_) {} strictement vides : les pannes de stockage, de réseau et de parsing disparaissent sans trace exploitable.;extrait verifie ligne 15 : try { history.scrollRestoration = 'manual', } catch (_) {};Introduire un helper ptSilence(err, contexte) qui compte les erreurs et les remonte en debug, plutôt que 66 catch anonymes.;P2
CODE-013;app.js;3374;BAS;Fonction de 497 lignes qui mêle nettoyage, cache DOM, machine d'état de 25 champs lerpés et boucle rAF — la plus longue du fichier.;extrait verifie ligne 3374 : function initPdpScrollAnimations() {;Extraire l'état lerpé et la boucle tick dans un module d'animation testable séparément.;P1
CODE-014;app.js;2215;BAS;423 lignes qui font tout : résolution de variantes, SEO, galerie, prix, specs, kit, avis, produits liés, achat et partage.;extrait verifie ligne 2215 : function renderPDP(slug) {;Découper en renderPdpHero / renderPdpPrix / renderPdpSpecs / renderPdpAchat appelées par un orchestrateur court.;P1
CODE-015;app.js;14822;BAS;392 lignes qui construisent tout le tableau de bord par concaténation de chaînes dans un seul innerHTML.;extrait verifie ligne 14822 : function renderAdmin() {;Découper par onglet et charger chaque section à la demande.;P2
CODE-016;app.js;5749;BAS;302 lignes qui assemblent le formulaire livreur par push() dans un tableau de chaînes, avec l'état local mélangé au balisage.;extrait verifie ligne 5749 : function renderLivreur() {;Séparer la description déclarative des sections du code de rendu.;P2
CODE-017;app.js;8428;MOYEN;216 lignes de routeur qui cumulent nettoyage 3D/Firestore, gardes d'auth, bascule des vues, scroll, switch de 20 routes, meta SEO, a11y et analytics.;extrait verifie ligne 8428 : function onRouteChange(isDataRefresh) {;Extraire une table route→{render, cleanup, meta} et réduire onRouteChange à son orchestration.;P1
CODE-018;app.js;9814;MOYEN;221 lignes câblant 40 écouteurs hétérogènes (menu, recherche, panier, auth, compte) dans une seule fonction sans regroupement.;extrait verifie ligne 9814 : function bindEvents() {;Éclater en bindMenu / bindCatalogue / bindDevis / bindCompte appelées par init().;P2
CODE-019;app.js;8484;MOYEN;On réécrit l'attribut class complet du body au lieu de retirer chirurgicalement les classes page-*, ce qui écrase toute classe posée entre-temps par un autre module.;extrait verifie ligne 8484 : document.body.className = document.body.className.replace(/page-\S+/g, '').trim(;Itérer sur classList et ne retirer que les entrées commençant par 'page-'.;P2
CODE-020;app.js;16918;BON;Le drapeau de boot est posé même si une des dix initialisations d'init() a levé, puisque rien n'est encapsulé.;extrait verifie ligne 16918 : window.PT_BOOTED = true,;Envelopper chaque étape d'init dans un try/catch nommé et ne poser PT_BOOTED qu'après un bilan sans échec bloquant.;P3
CODE-021;app.js;11771;MOYEN;Deuxième écouteur hashchange (barre de chargement) posé au niveau module en plus de celui du routeur en l.9816 : deux points d'entrée pour un même événement.;extrait verifie ligne 11771 : window.addEventListener('hashchange', function(){;Déclencher la barre depuis onRouteChange plutôt que via un écouteur concurrent.;P3
CODE-022;app.js;4948;MOYEN;Polling de 45 s des nouvelles courses via setInterval , s'il n'est pas coupé au changement de route, il continue de frapper l'API en arrière-plan.;extrait verifie ligne 4948 : _alertTimer = setInterval(function () {;Vérifier l'arrêt dans onRouteChange et suspendre le timer quand document.visibilityState vaut 'hidden'.;P2
