ID;Fichier;Lignes;Axe;Severite;Constat;Preuve;Recommandation;Impact;Effort
MA-001;app.js + api/_lib/pricing.js;app.js 109-195 , pricing.js 15-80;Argent;P0;DUALITE calcPrice : le moteur de taxation (TERRITORIES + TAX_RULES_BY_NC + taxRatesFor + calcPrice) est recopie a la main dans deux fichiers, client (affiche) et serveur (debite). Verifie ce jour : taux et formule byte-for-byte identiques, donc AUCUNE divergence live. Le risque est STRUCTUREL : deux copies manuelles, toute divergence future fait afficher un prix different de celui debite.;app.js:178-195 calcPrice reproduit pricing.js:69-80 (meme formule ht*(1+octroiExt+octroiReg)*(1+tva)) , TAX_RULES_BY_NC app.js:122-145 == pricing.js:23-46 (diff numerique par eval equilibre = identique) , commentaires app.js:102-105 et pricing.js:3-8 exigent le byte-for-byte;Supprimer la copie manuelle : GENERER le bloc client depuis pricing.js au build (un generateur ecrit TERRITORIES/TAX_RULES/taxRatesFor/calcPrice dans app.js) avec une porte --verifie qui regenere et compare octet a octet, OU charger pricing.js comme module unique des deux cotes. Tant que deux copies coexistent, la porte de parite doit lire LES DEUX (cf MA-002).;5;M
MA-002;scripts/check-pricing.js;13-63 , 136-173;Argent;P0;La porte anti-divergence est INCOMPLETE : check-pricing.js pin pricing.js (serveur) contre des valeurs-or calculees a la main, mais ne lit JAMAIS les tables de taux de app.js (il n'ouvre app.js que pour les champs commission cfgCommPct/cfgCommFix et adminPostType). Aucun script ne compare les deux copies. Une modif d'un taux dans app.js SEUL laisse la CI VERTE alors que affiche != debite : la porte ne mord pas au premier octet d'ecart.;check-pricing.js:44-45 teste pricing.calcPrice contre CASES en dur (price_ht=100) , app.js lu seulement en 136-142 et 150-173 pour 'cfgCommPct'/'adminPostType' , grep confirme aucun script n'extrait TERRITORIES/TAX_RULES_BY_NC de app.js pour un diff;Ajouter une porte qui extrait les literaux TERRITORIES + TAX_RULES_BY_NC de app.js (slice equilibre + eval) et les compare a require(api/_lib/pricing.js) champ par champ, ROUGE au premier octet d'ecart, branchee dans ci.js. Sabotage obligatoire (outils/sabotage.mjs) : changer un octroi dans app.js seul et EXIGER la porte ROUGE, sinon la porte est morte.;5;S
MA-003;api/_lib/pricing-model.js;89-90 , 160-162;Argent;P3;Part fixe 0,20 EUR PRESENTE et appliquee EXACTEMENT : commission = ttc*commissionPct + commissionFix, avec commissionPct=0,010 (1%) et commissionFix=0,20. Conforme a Revolut Business 1% + 0,20 EUR par transaction en ligne. La carte pro 2,8% est le cas marginal assume non provisionne (documente 45-74). Le fixe n'est PAS grave comme constante nommee/oracle dediee.;pricing-model.js:162 'var commission = ttc * pct + fix,' , :89 'commissionPct: 0.010,' , :90 'commissionFix: 0.20,' , repli stripePct/stripeFix :160-161;Graver une constante commentee « Revolut Business 1% + 0,20 EUR (paiement en ligne) » a cote de commissionPct/commissionFix et ajouter un ORACLE dedie : test qui affirme commission(ttc) == ttc*0,01 + 0,20 pour plusieurs ttc (8/20/50/100/300), prouve faillible en remettant fix a 0 (la porte doit rougir).;2;S
MA-004;api/_lib/pricing-model.js;179-184 , 162-164;Argent;P1;Les produits a COUT FOURNISSEUR BAS tombent SOUS la marge cible 15% et certains sont vendus A PERTE (marge nette negative), car solveMarkup plafonne le markup a 300% (m<=3) : sous ce plafond les frais fixes par commande (transport + douane 5,10 + emballage 0,5 + quote-part + commission fixe 0,20) ne sont plus couverts. Mesure recommend reel (971, power_tool) : coutTTC 8 EUR/2kg -> marge -35,5% , 12 EUR -> -2,7% , 16 EUR -> +13,6% , >=18 EUR -> 15% . Lettre 0,4kg : 5 EUR -> -18% , 8 EUR -> +12,3% , >=10 EUR -> 15%. Le fixe 0,20 y pese +0,58 pt a 8 EUR.;pricing-model.js:180-183 'for (var m = 0.02, m <= 3, m += 0.001) ... return 3,' (plafond 300%) , run recommend costTTC=8 poids=2 marginAfterIS=-0.355 , costTTC=16 marginAfterIS=0.1365;Faire REMONTER par le modele les fiches dont recommend() ne peut pas atteindre targetNet (markup sature a 3) au lieu de les publier a perte en silence : porte listant ces SKU (cout depuis product_overrides.priceSrcTTC) exigeant une decision (prix plancher, retrait, ou port gratuit conditionnel). Oracle : recommend a cout bas doit poser un drapeau sousCible quand m==3 et marginAfterIS<targetNet.;4;M
MA-005;api/admin.js;1894-1929 (allowlist 1903-1909);Argent;P0;Le POST generique (sans type reconnu) accepte 'price','price_ht','vat' BRUTS du corps et les ecrit dans product_overrides SANS passer par le calculateur serveur, contrairement a product-create (prix calcule par recommend) et product-edit (prix non modifiable, volontaire). C'est le SEUL chemin d'ecriture d'un prix qui echappe au moteur de marge : un prix peut etre pose sous le cout, ou price/price_ht/vat rendus incoherents (calcPrice privilegie price_ht, un 'price' seul devient mort mais trompeur). Utilise par la liste admin (adminFetch POST patch).;api/admin.js:1903-1909 allowed = [... 'price','price_ht','vat','currency', ...] , :1911-1921 patch ecrit tel quel via set(...,{merge:true}) , contraste product-create :1444-1445 'fiche.price = reco.priceHtFor.price' et product-edit :1460-1467 prix exclu volontairement;Faire du calculateur serveur (recommend) le SEUL chemin d'ecriture d'un prix : retirer 'price'/'price_ht'/'vat' de l'allowlist generique et router toute modif de prix vers un endpoint dedie qui recalcule depuis le cout (comme product-create). Porte : assert que l'allowlist generique ne contient AUCUN champ de prix. Sabotage : re-ajouter 'price' a l'allowlist et EXIGER la porte ROUGE.;5;M
SE-001;api/admin.js;61-64;Sécurité;P3;PORTE UNIQUE PROUVEE — le dispatcher choisit requireWatch (price-watch/price-watch-plan) ou requireAdmin AVANT toute init Firestore et tout effet (ligne 116 getFirebase vient APRES). Aucun handler E-002..E-056 n'exécute d'effet sans passer par ce point.;typeDemande=req.query.type (l.61) puis denied=estWatch?requireWatch:requireAdmin (l.63) et return si denied (l.64) — seuls applyCors et OPTIONS 204 (l.36-37) le précèdent sans effet Firestore;Conserver l'ordre porte-avant-effet et interdire tout nouveau require Firestore au-dessus de la ligne 63.;2;S
SE-002;api/_lib/auth.js;36-42;Sécurité;P2;requireAdmin voie 2 accepte encore le secret REJOUABLE x-admin-secret dès que ADMIN_SECRET est posé sur Vercel. Un secret partagé n'est ni révocable par compte ni horodaté et sa fuite (log proxy, historique iPad) rouvre TOUTE l'administration (clients PII, overrides, compta, raz-compta).;expected=process.env.ADMIN_SECRET (l.37), si posé timingSafeEqualStr(provided,expected) renvoie null=autorisé (l.40), commentaire l.29-30 le dit TRANSITOIRE à retirer;Confirmer par lecture Vercel qu'ADMIN_SECRET est SUPPRIMÉ (A5) pour passer en claim-only (l.45-47), sinon le retirer et déployer.;3;S
SE-003;api/_lib/auth.js;104-113;Sécurité;P2;requireWatch a un REPLI legacy: tant que WATCH_SECRET n'est pas posé il accepte ADMIN_SECRET via x-admin-secret. Conséquence: si ADMIN_SECRET subsiste, le MÊME secret rejouable ouvre à la fois toute l'admin ET le traqueur — l'isolation voulue (une clé = une porte) tombe.;var legacy=process.env.ADMIN_SECRET (l.109), timingSafeEqualStr(prov2,legacy) => return null autorisé (l.111-112), n'est atteint que si WATCH_SECRET absent (garde l.74-75);Poser WATCH_SECRET sur Vercel et supprimer ADMIN_SECRET, ce qui neutralise à la fois SE-002 et ce repli, puis vérifier par lecture séparée.;3;S
SE-004;api/admin.js;62-113;Sécurité;P3;Branches atteignables SANS claim admin par x-watch-secret dédié: price-watch-plan (E-002) et price-watch (E-011 stub 405, E-034 POST). VOULU et BORNÉ — le raccourci iPad ne peut pas fabriquer de jeton Firebase (expire 1h). Plan: ne lit ni n'écrit rien (l.78-113). Relevé: écrit UNIQUEMENT product_overrides (prix) et price_watch_log avec garde-fous MIN_TTC/MAX_TTC/dryRun.;estWatch=type in price-watch|price-watch-plan (l.62) => requireWatch (l.63), requireWatch n'ouvre que ces points (auth.js l.71-119), handler price-watch E-034 écrit overrides+log (inventaire l.117);Acceptable en l'état, garder la portée limitée au seul type=price-watch et ne jamais élargir requireWatch à d'autres branches.;2;S
SE-005;admin.bundle.js;1-2823;Sécurité;P3;ZÉRO secret en dur dans le bundle SERVI. Aucune occurrence de x-admin-secret/x-watch-secret/WATCH_SECRET/ADMIN_SECRET/service_account/private_key/bearer littéral. Les seules correspondances sont des libellés d'erreur mentionnant le NOM de variable FIREBASE_SERVICE_ACCOUNT, pas sa valeur.;grep -i (x-watch-secret|x-admin-secret|WATCH_SECRET|ADMIN_SECRET|service_account|private_key|bearer|apiKey) => matches l.732,932,1109,1235 = messages Comptes indisponibles nécessite FIREBASE_SERVICE_ACCOUNT, aucune valeur de secret;Aucune action, maintenir le principe que les secrets ne transitent que par en-têtes à l'exécution.;1;S
