ID;Fichier;Lignes;Categorie;Severite;Constat;Preuve;Recommandation;Impact_SEO;Effort
SEO-001;app.js;8224-8225;rendu-urls;P0;Toutes les routes vivent derriere un dieze : une seule URL indexable pour tout le site (1708 produits);grep -n hash.indexOf('/produit/') app.js -> 8224 et sitemap.xml declare 1 seule <loc>;Passer en chemins reels /produit/<slug>, /catalogue, /territoire/<slug> avec rewrite Vercel vers le rendu serveur;5;L
SEO-002;sitemap.xml;1-18;rendu-urls;P0;Le sitemap declare UNE URL (la racine) pour 1708 produits — le commentaire du fichier l'admet lui-meme;cat sitemap.xml -> une seule balise <loc>https://pirates-tools.com/</loc>;Generer sitemap.xml depuis products.json (1 URL par produit + familles + territoires) une fois les chemins reels en place;5;S
SEO-003;index.html;25;rendu-urls;P0;canonical fige sur la racine : toute page se declare comme etant l'accueil;ligne 25 : <link rel=canonical href=https://pirates-tools.com/>;Canonical par page une fois les chemins reels servis (le code setCanonical existe deja, app.js:16513);5;S
SEO-004;404.html;20-35;rendu-urls;P0;Tout chemin reel /produit/x repond aujourd'hui par la page 404 (noindex) puis une redirection JavaScript vers le hash — invisible pour un robot;404.html ligne 7 meta robots noindex + script location.replace(dest);Remplacer par des rewrites Vercel : /produit/* sert du HTML rendu, plus jamais la 404;5;M
SEO-005;api/ (absent);-;rendu-urls;P0;Aucun rendu serveur : le HTML initial ne contient AUCUN lien produit ni contenu produit;grep -c href="#/produit/ index.html -> 0;Fonction serverless de rendu (SSR leger sur Vercel, cache court) — SSG exclu car les prix bougent 2x/jour via overrides Firestore (risque J4 de prix perimes);5;L
SEO-006;products.json;-;contenu;P0;1531 produits sur 1708 sans description_long ni features, 1586 sans photo (img=placeholder) : meme indexables, les pages seraient vides et dupliquees;mesure node du 08/08 : sans description_long 1531 · sans features 1531 · placeholder 1586;Poursuivre D-54 (remplissage par lots) — prerequis de contenu pour une indexation utile;5;L
SEO-007;app.js;16450-16483;seo-local;P1;JSON-LD Organization avec areaServed DOM-TOM present mais PAS de LocalBusiness : pas d'adresse postale (NAP) ni de geo — signal local faible;grep -n LocalBusiness app.js -> 0 occurrence, Organization present ligne 16454;Passer a LocalBusiness/OnlineStore avec address (Guadeloupe), geo, openingHours — exige l'adresse business de Killian;4;S
SEO-008;app.js;16642-16740;seo-local;P1;Pages territoire (guadeloupe, martinique...) existent avec meta + JSON-LD dedies mais en routes hash : invisibles des moteurs;handleTerritoryRoute ligne 16642 + case '/territoire' lignes 8562 et 16835;Servir /territoire/guadeloupe etc. en chemins reels rendus serveur — pages locales pretes a l'emploi;5;M
SEO-009;index.html;7-8;seo-local;P2;Title et description de base citent DOM-TOM et Guadeloupe : bon socle, mais identiques pour toutes les pages tant que le JS n'a pas tourne;lignes 7-8 (title + meta description);Le rendu serveur (SEO-005) resout la duplication — garder ces libelles comme repli;3;S
SEO-010;index.html;-;structure;P2;22 balises h1 dans le HTML initial (une par vue cachee) : hierarchie de titres illisible pour un robot qui lit le DOM complet;grep -oc "<h1" index.html -> 22;Avec le rendu serveur, ne servir que la vue demandee (1 h1 par page) — en attendant, retrograder les h1 des vues secondaires;3;M
