ID;Statistique_affichee;Fichier;Lignes;Definition_exacte;Periode;Source_de_donnees;Signalement
S-001;Visites;admin.bundle.js;42;Carte statCard('Visites'). Valeur = totals.sessions calculee serveur dans analytics.summarize (somme de d.sessions sur tous les docs analytics_daily). Serveur api/admin.js type=stats l.679-696 renvoie analytics.summarize(daily,products,clicks,geo) , summarize l.261-296 api/_lib/analytics.js;All-time (tous les docs analytics_daily, rétention max 14 mois);Firestore analytics_daily (champ sessions), incrémenté par api/events.js via planWrites session_start;Aucune période affichée à l'admin alors que summarize agrège tout l'historique disponible (jusqu'à 14 mois)
S-002;Pages vues;admin.bundle.js;42;statCard('Pages vues') = totals.pageViews = somme de d.pageViews sur analytics_daily (summarize l.268). Serveur api/admin.js l.679-696;All-time;Firestore analytics_daily (pageViews), incrément event page_view (planWrites l.201-203);-
S-003;Clics;admin.bundle.js;42;statCard('Clics') = totals.clicks = somme de d.clicks sur analytics_daily (summarize l.269);All-time;Firestore analytics_daily (clicks), incrément event click (planWrites l.204-205);-
S-004;Visiteurs identifiés (consentis);admin.bundle.js;40-42;statCard('Visiteurs identifiés') = totalVisitors = (t.newVisitors||0)+(t.returningVisitors||0), calcul client à partir des totaux serveur;All-time;Firestore analytics_daily (newVisitors+returningVisitors);Ne compte QUE les visiteurs ayant consenti (nouveaux+récurrents) , les visiteurs anonymes sont exclus par construction (planWrites l.196-199) — sous-total réel des visiteurs
S-005;Nouveaux;admin.bundle.js;42;statCard('Nouveaux') = totals.newVisitors = somme de d.newVisitors (summarize l.270);All-time;Firestore analytics_daily (newVisitors), event session_start avec nv=true et consentement (planWrites l.196-199);Uniquement visiteurs consentis avec identifiant persistant
S-006;Récurrents;admin.bundle.js;42;statCard('Récurrents') = totals.returningVisitors = somme de d.returningVisitors (summarize l.270);All-time;Firestore analytics_daily (returningVisitors), event session_start nv=false consenti;Uniquement visiteurs consentis
S-007;Appareils (répartition mobile/desktop);admin.bundle.js;43;barRows(s.devices). devices = mergeCounts de d.device sur tous les analytics_daily (summarize l.271, 263);All-time;Firestore analytics_daily (device.mobile / device.desktop), planWrites l.192;-
S-008;Sources de trafic;admin.bundle.js;43;barRows(s.sources). sources = mergeCounts de d.source sur analytics_daily (summarize l.271-272);All-time;Firestore analytics_daily (source.*), planWrites l.193;-
S-009;Produits les plus consultés — Vues;admin.bundle.js;51-53;Colonne Vues = p.views. products mappé par summarize l.277-285 (num(p.views)), trié par views desc, filtré client >0 et slice 15;All-time;Firestore analytics_products (views), event view_item (planWrites l.214);-
S-010;Produits — Clics;admin.bundle.js;53;Colonne Clics = p.selects (num(p.selects), summarize l.281);All-time;Firestore analytics_products (selects), event select_item (planWrites l.215);Colonne intitulée "Clics" mais mesure les select_item (clic sur carte produit)
S-011;Produits — Panier;admin.bundle.js;53;Colonne Panier = p.addToCart (num, summarize l.282);All-time;Firestore analytics_products (addToCart), event add_to_quote (planWrites l.216);-
S-012;Produits — Achats;admin.bundle.js;53;Colonne Achats = p.purchases (num, summarize l.282);All-time;Firestore analytics_products (purchases), event purchase (planWrites l.217);-
S-013;Produits — Temps moyen;admin.bundle.js;53;Colonne Temps moy. = fmtDuration(p.avgTimeMs). avgTimeMs = samples ? Math.round(timeMsTotal/timeSamples) : 0 (summarize l.278-284);All-time;Firestore analytics_products (timeMsTotal, timeSamples), event time_on_item borné 30 min (planWrites l.218, sanitize l.110-112);-
S-014;Clics — sur quoi et combien de fois;admin.bundle.js;58-68;barRows(cmap) avec cmap[label]=count, top 20. clicks mappé summarize l.287-289 (num(c.count)) trié count desc;All-time;Firestore analytics_clicks (count par libellé de cible), event click avec ev.t (planWrites l.206-209);-
S-015;Provenance des visiteurs (par pays);admin.bundle.js;70-81;barRows(gmap) gmap[countryName]=g.count, top 15. geo mappé summarize l.291-293 (num(x.count)) trié count desc;All-time;Firestore analytics_geo (count par pays), dérivé des en-têtes Vercel géo (deriveGeo, planWrites l.233-237);-
S-016;Globe — volume par pays (taille marqueur);admin.bundle.js;180-202;Marqueur 3D par pays. scale = 0.006 + 0.01*sqrt(p.count/maxCount) , maxCount = max des count. count = g.count du doc geo;All-time;Firestore analytics_geo (count, lat, lng) , lat/lng repli COUNTRY_LATLNG client;-
S-017;Nombre de clients;admin.bundle.js;331;"N client(s)" = clients.length (rendu client). Serveur api/admin.js type=clients l.700-724 lit users limit(200) et renvoie total=clients.length;All-time;Firestore users (limit 200);Plafonné à 200 comptes (users.limit(200) l.701) : au-delà de 200 clients le nombre est sous-évalué et silencieusement tronqué
S-018;Commandes par client;admin.bundle.js;341;"N commande(s)" par carte = c.orderCount. Serveur l.706-709 : agrégat count() sur users/{uid}/orders;All-time;Firestore users/{uid}/orders (count aggregate);orderCount=0 en repli silencieux si l'agrégat count() échoue (l.709 catch)
