ID;Ecran_ou_Fonction;Fichier;Lignes;Ce_que_ca_fait;Donnees_lues;Donnees_ecrites;Endpoints_appeles;Signalement
A-001;adminFetch;admin.bundle.js;4-21;Requete authentifiee generique vers /api/admin (methode + corps JSON), parse la reponse et jette si !ok;A.apiBaseUrl, entetes admin;fetch body JSON;fetch /api/admin (POST, sans type=);Duplique adminPostType mais lit seulement data.error (anglais) et n'utilise pas adminReadResponse, donc perd erreur/etape/indice (francais)
A-002;loadAdminStats;admin.bundle.js;23-36;Charge les stats dans #adminStats, garde-fou _adminStatsLoaded;A._adminStatsLoaded, DOM #adminStats;A._adminStatsLoaded, el.innerHTML;adminGet('stats');-
A-003;renderAdminStats;admin.bundle.js;38-90;Construit le HTML des stats (totaux, appareils, sources, produits, clics, geo) et lance le globe;objet s (stats);el.innerHTML, #adminGlobe;- (appelle buildAdminGlobe/destroyAdminGlobe);-
A-004;buildAdminGlobe;admin.bundle.js;92-264;Dessine un globe three.js des visiteurs avec drag/rotation, inner: endDrag, animate;geo, A.COUNTRY_LATLNG, A._adminGlobe;A._adminGlobe, canvas WebGL;-;-
A-005;sendAdminReport;admin.bundle.js;266-309;Declenche l'envoi du rapport par mail via /api/cron-report;DOM #adminReportBtn/#adminReportStatus;status.textContent/className, btn.disabled;fetch /api/cron-report (POST);-
A-006;loadAdminClients;admin.bundle.js;311-324;Charge la liste des clients dans #adminClients, garde-fou _adminClientsLoaded;A._adminClientsLoaded, DOM;A._adminClientsLoaded, el.innerHTML;adminGet('clients');-
A-007;renderAdminClients;admin.bundle.js;326-343;Rend les fiches clients en cartes;tableau clients;el.innerHTML;-;-
A-008;comptaState;admin.bundle.js;345-351;Lit l'etat de veille compta depuis localStorage;localStorage A.COMPTA_VEILLE_KEY;-;-;-
A-009;comptaSetChecked;admin.bundle.js;353-360;Enregistre un horodatage de verification pour un id;localStorage COMPTA_VEILLE_KEY;localStorage COMPTA_VEILLE_KEY;-;-
A-010;comptaCopy;admin.bundle.js;362-382;Copie un texte dans le presse-papier avec feedback bouton, inner: done;navigator.clipboard;presse-papier, btn.textContent;-;-
A-011;comptaFallbackCopy;admin.bundle.js;384-396;Copie via textarea temporaire + execCommand (repli);-;DOM textarea temporaire;-;-
A-012;Ecran: renderAdminCompta;admin.bundle.js;398-513;Construit le panneau Comptabilite (synthese, diagnostic paiement, calculateur, devis transport, veille taxes) et branche la RAZ;comptaState, A.COMPTA_DEVIS, A.COMPTA_VEILLE;#adminComptaBody innerHTML;adminPostType('raz-compta');-
A-013;comptaBrancherReconciliation;admin.bundle.js;515-572;Branche les boutons de reconciliation 7/30 jours (compare encaissements vs commandes), inner: lancer;DOM reconOut/reconLancer;out.innerHTML;adminGet('reconciliation' {jours});-
A-014;comptaBrancherOrdreTest;admin.bundle.js;574-595;Branche le bouton creation d'une commande de test Revolut;DOM #revolutOrdre;A._revolutDerniereCommande, out.innerHTML;adminGet('revolut-commande-test');-
A-015;comptaBrancherWebhook;admin.bundle.js;597-622;Branche l'enregistrement du webhook Revolut, affiche le secret de signature;DOM #revolutWebhook;out.innerHTML;adminGet('revolut-webhook');-
A-016;comptaBrancherRelire;admin.bundle.js;624-648;Branche la relecture de la commande de test (etat, commission, code postal);A._revolutDerniereCommande;out.innerHTML;adminGet('revolut-relire' {id});-
A-017;comptaBrancherSante;admin.bundle.js;650-696;Branche la lecture du journal des notifications webhook, inner: ilYA;DOM #webhookSante;out.innerHTML;adminGet('webhook-sante');-
