Ordre;Action;Fichiers;Refs_audit;Resultat_attendu;Critere_de_validation;Effort;Dependances
1;ARGENT — Chemin d'ecriture UNIQUE d'un prix : retirer price/price_ht/vat/currency de l'allowlist du POST generique et router toute ecriture de prix par le calculateur serveur (depuis le cout), comme product-create/product-edit;api/admin.js:1903-1921;MA-005;Aucun prix ne peut etre ecrit en base sans passer par le moteur (affiche = debite garanti);Porte qui echoue si 'price' revient dans l'allowlist du POST generique + sabotage (re-ajout de 'price' -> rouge);M;aucune
2;ARGENT — Source UNIQUE de calcPrice : generer la copie client (app.js) depuis api/_lib/pricing.js au build (ou module partage), + porte anti-divergence qui DIFFE les deux copies (tables + formule) et rougit au 1er octet d'ecart;app.js:109-195,api/_lib/pricing.js:15-80,scripts/check-pricing.js;MA-001,MA-002;Une modif de taux dans une seule copie fait rougir la CI (fin du risque affiche != debite);Sabotage : changer un taux dans app.js seul -> porte rouge (aujourd'hui verte);M;aucune
3;ARGENT — solveMarkup : remplacer le plafond muet de 300% par un PLANCHER de marge nette (jamais vendre sous cible ni a perte) et signaler les SKU concernes;api/_lib/pricing-model.js:180-183;MA-004;Aucun produit a cout bas ne part sous 15% ni a perte a l'insu;Oracle sous-seuil (cout bas -> marge >= cible ou produit signale) dans oracle-argent.mjs;M;branche 203 hausses (R5)
4;TRAQUEUR (AVANT ce soir) — Basculer le slug source par defaut cotebrico->idealo et cabler idealo dans les 3 lectures d'heritage de cout (variante jumelle +/-20e);api/admin.js:2957-2958,1988,2249,2025-2028;TR-006,TR-007;Un POST idealo sans &source etiquette la bonne source et seme la variante jumelle;Test : POST price-watch idealo sans &source -> priceSources.idealo (pas cotebrico);S;doit preceder la mise en reel
5;TRAQUEUR (AVANT ce soir) — Garde d'ecriture du mode sec : assert !secMode juste avant la boucle d'ecriture + env TRAQUEUR_ECRIRE, en plus du return anticipe;api/admin.js:3594-3798,3098-3437;TR-001;Un run sec ne peut PHYSIQUEMENT pas ecrire d'override, meme si le return est retire par erreur;Sabotage : retirer le return anticipe -> la garde interne bloque quand meme l'ecriture;S;doit preceder la mise en reel
6;TRAQUEUR — Garde de fraicheur : alerte a 36h, retrait de l'offre JSON-LD a 72h, et test de l'age de priceCheckedAt au paiement;api/_lib/catalog.js,api/render.js,api/create-payment-intent.js;TR-003;iPad eteint : le prix perime cesse d'etre offert avant de mentir;Test : priceCheckedAt vieux de 73h -> pas d'offre JSON-LD, alerte admin;M;ordre 4
7;TRAQUEUR — Alerte admin visible si le dernier releve date de plus de 24h (dernierReleve = max priceCheckedAt);api/admin.js,admin.bundle.js;TR-004;Le proprietaire voit tout de suite si l'automatisation iPad est en panne;Bandeau admin rouge si max(priceCheckedAt) > 24h;S;ordre 6
8;TRAQUEUR — Garde-fous idealo chiffres : variation par releve > 40% -> flag, baisse > 60% -> suspens, pages refusees >= 5/67 ou tuiles < 80% -> alerte scan, couverture < 50% -> alerte;api/_lib/price-parse.js,api/admin.js:3594-3798;TR-008;Un prix aberrant ou un scan casse ne s'applique pas en silence;Oracle : releve +45% -> flag, -65% -> non applique;M;ordre 4
9;TRAQUEUR — Extensibilite multi-marques par CONFIGURATION : nomenclature PAR MARQUE (plan), sortir les motifs DeWALT en dur du parseur idealo partage;api/_lib/price-parse.js:437-536,api/_lib/nomenclature.js:585-716,api/_lib/traqueur-plans.js;TR-009,TR-010,TR-012,TR-005;Ajouter MAKITA/BOSCH = ajouter un plan, jamais dupliquer le parseur;Un 2e plan de marque tourne sans nouvelle ligne de code parseur;L;ordre 4
10;SECURITE — Reduire la surface window.__PT_ADMIN_CTX (ne pas exposer adminAuthHeaders/_currentUser/setAdminSecret globalement) et retirer les CDN tiers du chemin admin dans la CSP;app.visitor.js:13820-13886,vercel.json:51;SE-012;Un script tiers sur #/admin ne peut plus exfiltrer token/secret ni muter les donnees;check-csp vert apres retrait CDN + __PT_ADMIN_CTX n'expose plus les fabriques d'auth;M;aucune
11;SECURITE — Secrets : verifier par lecture Vercel que ADMIN_SECRET rejouable est SUPPRIME, que WATCH_SECRET est pose, documenter la rotation de x-watch-secret;api/_lib/auth.js:37-42,104-113,74-77;SE-002,SE-003,SE-008;Un seul secret rejouable n'ouvre plus admin+traqueur ; rotation tracee;Lecture Vercel : ADMIN_SECRET absent, WATCH_SECRET present ; procedure de rotation ecrite;S;lecture cote Vercel (Killian)
12;STATS — Total clients reel (count non borne au lieu de length d'une liste plafonnee a 200) et marges ponderees par le volume vendu;api/admin.js:701,723,1093-1094;ST-002,ST-004;Le nombre de clients et la marge moyenne cessent de mentir au-dela de 200 / a volume egal;Jeu factice > 200 clients -> total exact ; marge ponderee != moyenne simple;M;aucune
13;STATS — Periodes (selecteur 7j/30j/Total sur analytics_daily.date), renommer la colonne Clics en select_item, horodater marges et comptabilite;admin.bundle.js:53,api/_lib/analytics.js:215,api/admin.js:1056-1131;ST-001,ST-003,ST-006,ST-007;Chaque chiffre porte sa periode et son vrai libelle;Oracle stats : dataset factice -> valeurs attendues par periode calculees a la main;M;ordre 12
14;QUALITE — Code mort et commentaires trompeurs : SERIES/BOITES double-declares (nomenclature ecrasee par du dur), pricing_config->config/pricing, catch vides, orderCount=0 silencieux;api/_lib/price-parse.js:2096-2110,api/_lib/pricing-model.js:18-27,admin.bundle.js:262-263,api/admin.js:706-709;QU-001,QU-002,QU-003,QU-005;Le code dit la verite : plus de gamme silencieusement jetee ni d'erreur avalee;code-mort.mjs propre + grep pricing_config = 0 hors historique;M;aucune
